iter	Passed	Remaining
144	600	7681
145	604	7675
146	608	7674
147	612	7665
148	616	7654
149	619	7645
150	623	7635
151	627	7629
152	631	7622
153	635	7615
154	638	7601
155	642	7592
156	645	7581
157	649	7569
158	652	7559
159	657	7555
160	661	7556
161	665	7552
162	669	7546
163	675	7562
164	679	7555
165	683	7555
166	687	7541
167	691	7538
168	695	7536
169	699	7531
170	702	7518
171	706	7511
172	710	7500
173	714	7498
174	717	7487
175	721	7474
176	725	7475
177	729	7469
178	733	7463
179	737	7452
180	741	7449
181	744	7440
182	748	7430
183	751	7420
184	756	7420
185	760	7415
186	763	7405
187	767	7399
188	771	7390
189	775	7385
190	778	7376
191	782	7366
192	785	7357
193	790	7359
194	794	7356
195	798	7350
196	802	7340
197	806	7337
198	811	7343
199	815	7341
200	819	7330
201	823	7332
202	827	7327
203	832	7327
204	838	7343
205	842	7339
206	847	7340
207	851	7338
208	859	7361
209	864	7366
210	868	7363
211	873	7363
212	877	7359
213	881	7355
214	885	7355
215	890	7354
216	894	7350
217	898	7347
218	903	7347
219	908	7346
220	912	7349
221	917	7345
222	924	7363
223	929	7369
224	933	7365
225	938	7368
226	943	7366
227	947	7364
228	951	7361
229	956	7357
230	960	7355
231	965	7359
232	970	7362
233	975	7361
234	979	7359
235	985	7365
236	990	7369
237	995	7369
238	999	7366
239	1004	7367
240	1009	7365
241	1014	7366
242	1018	7363
243	1022	7361
244	1027	7362
245	1032	7360
246	1037	7362
247	1042	7363
248	1047	7366
249	1053	7373
250	1058	7377
251	1063	7374
252	1067	7373
253	1071	7367
254	1075	7361
255	1080	7359
256	1085	7362
257	1090	7363
258	1095	7360
259	1100	7364
260	1104	7361
261	1109	7360
262	1113	7354
263	1119	7358
264	1123	7358
265	1129	7362
266	1134	7360
267	1137	7352
268	1143	7355
269	1147	7352
270	1152	7353
271	1156	7349
272	1160	7344
273	1166	7345
274	1171	7347
275	1175	7344
276	1181	7347
277	1186	7350
278	1190	7341
279	1194	7337
280	1198	7333
281	1202	7327
282	1207	7324
283	1211	7320
284	1217	7323
285	1221	7320
286	1225	7317
287	1231	7322
288	1235	7317
289	1240	7314
290	1244	7309
291	1250	7317
292	1254	7310
293	1260	7311
294	1265	7312
295	1269	7307
296	1274	7305
297	1278	7301
298	1283	7303
299	1288	7304
300	1293	7299
301	1302	7322
302	1306	7318
303	1311	7316
304	1316	7317
305	1321	7317
306	1326	7312
307	1331	7314
308	1336	7312
309	1340	7306
310	1344	7301
311	1349	7300
312	1354	7297
313	1358	7294
314	1364	7297
315	1368	7293
316	1372	7288
317	1377	7284
318	1382	7282
319	1386	7280
320	1391	7277
321	1396	7276
322	1400	7273
323	1405	7269
324	1410	7268
325	1415	7267
326	1419	7264
327	1424	7259
328	1429	7260
329	1433	7255
330	1438	7251
331	1442	7247
332	1447	7246
333	1452	7243
334	1457	7243
335	1462	7242
336	1466	7236
337	1470	7233
338	1476	7235
339	1481	7235
340	1486	7230
341	1490	7223
342	1495	7225
343	1500	7222
344	1504	7216
345	1508	7211
346	1513	7211
347	1518	7208
348	1522	7202
349	1527	7201
350	1532	7198
351	1536	7194
352	1544	7207
353	1548	7202
354	1553	7199
355	1558	7197
356	1563	7195
357	1568	7194
358	1572	7189
359	1578	7190
360	1582	7186
361	1587	7181
362	1592	7180
363	1596	7177
364	1601	7172
365	1605	7165
366	1610	7167
367	1615	7164
368	1620	7160
369	1624	7157
370	1629	7153
371	1634	7151
372	1638	7145
373	1644	7149
374	1649	7145
375	1653	7139
376	1658	7139
377	1662	7134
378	1667	7131
379	1675	7144
380	1681	7143
381	1685	7139
382	1690	7135
383	1694	7132
384	1699	7128
385	1704	7125
386	1709	7126
387	1714	7123
388	1719	7119
389	1724	7118
390	1728	7114
391	1733	7111
392	1739	7112
393	1743	7107
394	1747	7102
395	1752	7098
396	1757	7096
397	1762	7094
398	1767	7090
399	1773	7094
400	1777	7088
401	1782	7084
402	1787	7082
403	1792	7082
404	1797	7078
405	1801	7073
406	1807	7072
407	1811	7069
408	1816	7065
409	1821	7064
410	1826	7061
411	1831	7058
412	1835	7054
413	1840	7050
414	1844	7044
415	1849	7042
416	1854	7040
417	1859	7037
418	1863	7032
419	1868	7027
420	1873	7027
421	1877	7022
422	1883	7021
423	1888	7018
424	1892	7012
425	1897	7009
426	1902	7008
427	1907	7004
